                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.39084,                0.19419,                0.85321,                0.39165,                0.13038,                 0.8538,                0.99404,                      1,                0.99467,                0.89389,                0.47118,                0.19535,                 0.9007,                0.47166,                0.13985,                 0.9044,             0.00019821,             0.00019821,             0.00019821
                     92,                0.37923,                0.18455,                0.84964,                0.37798,                0.11778,                 0.8505,                0.99446,                  0.997,                0.99452,                0.89887,                  0.469,                0.19232,                0.89874,                0.47015,                 0.1402,                0.90281,              0.0001817,              0.0001817,              0.0001817
                     93,                0.37708,                0.17924,                0.83641,                0.37924,                0.11809,                0.83673,                0.99533,                      1,                0.99452,                0.89882,                0.47376,                0.19431,                0.90051,                0.47418,                0.14192,                0.90379,              0.0001652,              0.0001652,              0.0001652
                     94,                0.37865,                0.18159,                0.84709,                0.37868,                0.11855,                0.84862,                0.99526,                      1,                0.99449,                 0.8951,                 0.4826,                0.19555,                0.90325,                 0.4851,                0.14273,                0.90711,              0.0001487,              0.0001487,              0.0001487
                     95,                0.37469,                0.18169,                0.84763,                0.37121,                0.11697,                0.84767,                0.99311,                0.99659,                0.99449,                0.90077,                0.47033,                0.19069,                0.89837,                0.47038,                0.14523,                0.90163,             0.00013219,             0.00013219,             0.00013219
                     96,                0.38146,                0.17843,                0.85188,                0.38222,                0.12055,                0.85272,                0.99316,                0.99944,                0.99456,                 0.8974,                0.48317,                0.19117,                0.90274,                0.48384,                0.14317,                0.90519,             0.00011569,             0.00011569,             0.00011569
                     97,                0.37379,                0.17482,                0.85775,                0.37181,                  0.118,                 0.8581,                0.99251,                      1,                0.99467,                0.89313,                0.47974,                0.18965,                0.90094,                0.48097,                0.14612,                0.90359,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 0.3709,                0.17439,                0.85238,                0.36951,                 0.1144,                0.85229,                0.99551,                0.99752,                0.99482,                0.89973,                0.47303,                0.18539,                0.89856,                0.47531,                 0.1404,                0.90235,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.36478,                0.17174,                0.84151,                 0.3627,                0.11103,                0.84137,                0.99551,                      1,                0.99482,                0.90049,                0.47964,                  0.188,                 0.9006,                0.48133,                0.13948,                0.90434,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.36734,                0.17388,                0.85228,                0.36667,                0.11253,                0.85382,                0.99459,                      1,                0.99471,                0.89875,                0.48393,                0.18732,                0.90212,                0.48604,                0.14229,                0.90632,             4.9677e-05,             4.9677e-05,             4.9677e-05
